county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Clackamas,157,37,,57,32,64.04,53,34,60.92,-3.12,true,Walters,2.2,,,,,,
Clackamas,158,38,,3017,923,76.57,,,,,false,,,,,,,,
Clackamas,159,38,,1861,667,73.62,,,,,false,,,,,,,,
Clackamas,160,37,,1201,419,74.14,1047,466,69.2,-4.94,true,Walters,6.6,,,,,,
Clackamas,161,38,,389,125,75.68,,,,,false,,,,,,,,
Clackamas,162,38,,412,194,67.99,,,,,false,,,,,,,,
Clackamas,201,26,,2491,1396,64.09,2262,1594,58.66,-5.43,true,Neron,0.8,,,,,,
Clackamas,202,26,,2851,1672,63.03,2617,1784,59.46,-3.57,true,Neron,2.7,,,,,,
Clackamas,203,26,,1233,883,58.27,1098,986,52.69,-5.58,true,Neron,1.5,,,,,,
Clackamas,204,26,,1401,975,58.96,1266,1073,54.13,-4.83,true,Neron,1.6,,,,,,
Clackamas,251,37,,1235,641,65.83,1076,759,58.64,-7.19,true,Walters,2.2,,,,,,
Clackamas,279,37,,69,32,68.32,62,38,62.0,-6.32,true,Walters,1.0,,,,,,
Clackamas,280,38,,289,91,76.05,,,,,false,,,,,,,,
Clackamas,281,37,,790,290,73.15,705,335,67.79,-5.36,true,Walters,3.7,,,,,,
Clackamas,282,38,,278,104,72.77,,,,,false,,,,,,,,
Clackamas,283,38,,270,123,68.7,,,,,false,,,,,,,,
Clackamas,284,37,,212,63,77.09,191,72,72.62,-4.47,true,Walters,4.4,,,,,,
Clackamas,285,37,,8,7,53.33,8,8,50.0,,false,Walters,-6.7,,,,,,
Clackamas,286,38,,120,45,72.73,,,,,false,,,,,,,,
Clackamas,320,38,,65,24,73.03,,,,,false,,,,,,,,
Clackamas,321,37,,1417,1198,54.19,1205,1306,47.99,-6.2,true,Walters,4.0,,,,,,
Clackamas,322,37,,510,611,45.5,459,636,41.92,-3.58,true,Walters,2.3,,,,,,
Clackamas,323,26,,732,711,50.73,629,806,43.83,-6.9,true,Neron,0.6,,,,,,
Clackamas,324,37,,27,23,54.0,24,25,48.98,,false,Walters,2.0,,,,,,
Clackamas,330,18,9,1020,2702,27.4,827,2737,23.2,-4.2,true,Dow,4.2,858,2719,23.99,-3.41,Ashland,3.9
Clackamas,331,18,9,552,1167,32.11,437,1216,26.44,-5.67,true,Dow,3.8,438,1220,26.42,-5.69,Ashland,3.5
Clackamas,332,26,,251,313,44.5,233,332,41.24,-3.26,true,Neron,-0.2,,,,,,
Clackamas,350,18,9,799,2266,26.07,666,2246,22.87,-3.2,true,Dow,5.0,701,2223,23.97,-2.1,Ashland,4.6
Clackamas,355,57,,0,0,,,,,,false,,,,,,,,
Clackamas,357,18,9,55,87,38.73,39,101,27.86,-10.87,true,Dow,1.4,43,97,30.71,-8.02,Ashland,1.4
Clackamas,358,18,9,119,257,31.65,97,246,28.28,-3.37,true,Dow,8.8,93,245,27.51,-4.14,Ashland,10.1
Clackamas,359,51,,1030,1902,35.13,,,,,false,,,,,,,,
Clackamas,360,51,,406,741,35.4,,,,,false,,,,,,,,
Clackamas,361,18,9,2,9,18.18,4,7,36.36,,false,Dow,0.0,4,7,,,Ashland,0.0
