county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Washington,380,27,,2083.0,815.0,71.88,1950.0,855.0,69.52,-2.36,True,Helm,3.2,,,,,,
Washington,381,34,,333.0,120.0,73.51,331.0,110.0,75.06,1.55,True,Reynolds,2.6,,,,,,
Washington,382,35,18,2394.0,1313.0,64.58,2287.0,1266.0,64.37,-0.21,True,Chaichi,4.2,2237,1356,62.26,-2.32,Campos,3.1
Washington,383,27,,1178.0,318.0,78.74,1101.0,330.0,76.94,-1.8,True,Helm,4.3,,,,,,
Washington,384,28,,3478.0,830.0,80.73,3302.0,847.0,79.59,-1.15,True,Grayber,3.7,,,,,,
Washington,385,27,,562.0,158.0,78.06,493.0,192.0,71.97,-6.08,True,Helm,4.9,,,,,,
Washington,386,28,,1495.0,366.0,80.33,1367.0,392.0,77.71,-2.62,True,Grayber,5.5,,,,,,
Washington,387,34,,12.0,9.0,57.14,11.0,10.0,52.38,,False,Reynolds,0.0,,,,,,
Washington,388,28,,181.0,61.0,74.79,175.0,61.0,74.15,-0.64,True,Grayber,2.5,,,,,,
Washington,389,36,18,5246.0,2026.0,72.14,4818.0,2177.0,68.88,-3.26,True,Pham,3.8,4584,2441,65.25,-6.89,Campos,3.4
Washington,390,34,,1432.0,584.0,71.03,1307.0,614.0,68.04,-2.99,True,Reynolds,4.7,,,,,,
Washington,391,28,,327.0,69.0,82.58,316.0,63.0,83.38,0.8,True,Grayber,4.3,,,,,,
Washington,392,28,,86.0,19.0,81.9,77.0,16.0,82.8,0.89,True,Grayber,11.4,,,,,,
Washington,393,28,,503.0,97.0,83.83,488.0,98.0,83.28,-0.56,True,Grayber,2.3,,,,,,
Washington,394,37,,164.0,67.0,71.0,145.0,77.0,65.32,-5.68,True,Walters,3.9,,,,,,
Washington,395,25,,3714.0,1433.0,72.16,3510.0,1471.0,70.47,-1.69,True,Bowman,3.2,,,,,,
Washington,396,37,,558.0,228.0,70.99,510.0,261.0,66.15,-4.84,True,Walters,1.9,,,,,,
Washington,397,26,,1773.0,1023.0,63.41,1599.0,1190.0,57.33,-6.08,True,Neron,0.3,,,,,,
Washington,398,36,18,1032.0,618.0,62.55,959.0,685.0,58.33,-4.21,True,Pham,0.4,896,748,54.5,-8.05,Campos,0.4
Washington,399,25,,1526.0,605.0,71.61,1429.0,604.0,70.29,-1.32,True,Bowman,4.6,,,,,,
Washington,400,25,,2400.0,954.0,71.56,2330.0,948.0,71.08,-0.48,True,Bowman,2.3,,,,,,
